ACE-n100-MP03b-ft,finished,5.5,MP03b,100,1,ACE,0.05891867280147053,0.0031930592229672075,0.05353524346769868,0.002415951347387644
ACE-n100-MP03b-ft,finished,5.5,MP03b,100,2,ACE,0.059492733382343205,0.0037195510073332327,0.0545478111586843,0.0029755585632647774
ACE-n100-MP03b-ft,finished,5.5,MP03b,100,3,ACE,0.05944277282790095,0.003756808481425479,0.05429231198082771,0.0030562206944321412
ACE-n333-MP03b-ft,finished,5.5,MP03b,333,1,ACE,0.05682840611355692,0.00426878615480352,0.0511793023990552,0.0035332554431810846
ACE-n333-MP03b-ft,finished,5.5,MP03b,333,2,ACE,0.059688675113221276,0.004819163856218728,0.05410697918102114,0.00412622864173747
ACE-n333-MP03b-ft,finished,5.5,MP03b,333,3,ACE,0.05677826518427026,0.004436467964003398,0.0511622666072565,0.0036972824697270317
ACE-n1000-MP03b-ft,finished,5.5,MP03b,1000,1,ACE,0.05612649439094523,0.005641084252432456,0.050476131405174325,0.005083935210019603
ACE-n1000-MP03b-ft,finished,5.5,MP03b,1000,2,ACE,0.05691227461490772,0.005769564295354471,0.051181253219358035,0.005232286193045754
ACE-n1000-MP03b-ft,finished,5.5,MP03b,1000,3,ACE,0.0559748798502126,0.005747710944938801,0.05022810402555892,0.005138080148535999
ACE-n3333-MP03b-ft,finished,5.5,MP03b,3333,1,ACE,0.05487201898214187,0.00556043455747871,0.049304314576301314,0.004932329133777871
ACE-n3333-MP03b-ft,finished,5.5,MP03b,3333,2,ACE,0.05466491073332878,0.005345743338112074,0.04890629937845686,0.004713597439224344
ACE-n3333-MP03b-ft,finished,5.5,MP03b,3333,3,ACE,0.056626021478388966,0.005351692336384509,0.05079306416238922,0.004724548947465232
ACE-n10000-MP03b-ft,finished,5.5,MP03b,10000,1,ACE,0.055601601705361284,0.005514023530135838,0.04990859720790419,0.004873927607927545
ACE-n10000-MP03b-ft,finished,5.5,MP03b,10000,2,ACE,0.05485255862904427,0.005238673611486347,0.04890296172268438,0.004577752250877333
ACE-n10000-MP03b-ft,finished,5.5,MP03b,10000,3,ACE,0.053962776422842404,0.005139235227445493,0.04799856155059422,0.004482764660772221
