"Name","State","N","CUTOFF","ARCH","FM","SEED","test/dft-test-fm/forces_mae","test/dft-test/forces_mae","test/valid/forces_mae","test/dft-test-fm/per_atom_energy_mae"
"MP03b-PaiNN-10000","finished","10000","5.5","PaiNN","MP03b","3","0.02961912751197815","0.037909019738435745","0.05928827449679375","0.00047717944835312665"
"MP03b-PaiNN-10000","finished","10000","5.5","PaiNN","MP03b","1","0.03086053393781185","0.0388387106359005","0.061565447598695755","0.000487703422550112"
"MP03b-PaiNN-10000","finished","10000","3.5","PaiNN","MP03b","3","0.04388447850942612","0.05044309049844742","0.0762261152267456","0.0013001784682273865"
"MP03b-PaiNN-10000","finished","10000","5.5","PaiNN","MP03b","2","0.030009953305125237","0.038417547941207886","0.05853894352912903","0.0007628232124261558"
"MP03b-PaiNN-10000","finished","10000","3.5","PaiNN","MP03b","2","0.044254787266254425","0.05087751895189285","0.07566670328378677","0.0010682180291041732"
"MP03b-PaiNN-10000","finished","10000","3.5","PaiNN","MP03b","1","0.044419243931770325","0.05089638754725456","0.07735060900449753","0.0012056292034685612"
"MP03b-TensorNet-10000","finished","10000","4.5","TensorNet","MP03b","3","0.02940138429403305","0.03722202777862549","0.06157008185982704","0.0005558648845180869"
"MP03b-TensorNet-10000","finished","10000","4.5","TensorNet","MP03b","2","0.029396865516901016","0.03716064617037773","0.06058172881603241","0.0005398635403253138"
"MP03b-PaiNN-10000","finished","10000","3","PaiNN","MP03b","2","0.06521602720022202","0.0704566016793251","0.10394389182329178","0.0025121148210018873"
"MP03b-PaiNN-10000","finished","10000","3","PaiNN","MP03b","3","0.06373409926891327","0.06896605342626572","0.10369842499494553","0.002611815696582198"
"MP03b-PaiNN-10000","finished","10000","3","PaiNN","MP03b","1","0.06415137648582458","0.06948556005954742","0.10434545576572418","0.0032889151480048895"
"MP03b-PaiNN-10000","finished","10000","4","PaiNN","MP03b","2","0.03559684753417969","0.04304246604442597","0.06546463817358017","0.00075485062552616"
"MP03b-PaiNN-10000","finished","10000","4","PaiNN","MP03b","3","0.03464856371283531","0.04212762415409088","0.06507913023233414","0.0007295834366232157"
"MP03b-PaiNN-10000","finished","10000","4","PaiNN","MP03b","1","0.03521832078695297","0.04276162013411522","0.06609580665826797","0.000681428995449096"
"MP03b-PaiNN-L-3333","finished","3333","4.5","PaiNN-L","MP03b","2","0.030422557145357132","0.039170634001493454","0.05835959315299988","0.0005306020029820502"
"MP03b-PaiNN-L-3333","finished","3333","4.5","PaiNN-L","MP03b","3","0.03321767598390579","0.041367802768945694","0.061239033937454224","0.0005942696589045227"
"MP03b-PaiNN-L-1000","finished","1000","4.5","PaiNN-L","MP03b","3","0.04491439089179039","0.0507875420153141","0.08592692762613297","0.0035467748530209064"
"MP03b-PaiNN-L-333","finished","333","4.5","PaiNN-L","MP03b","3","0.047821611166000366","0.05299130454659462","0.08132758736610413","0.0011770607670769095"
"MP03b-PaiNN-L-100","finished","100","4.5","PaiNN-L","MP03b","3","0.06292752921581268","0.06711632013320923","0.10801374912261964","0.0016151615418493748"
"MP03b-PaiNN-L-1000","finished","1000","4.5","PaiNN-L","MP03b","2","0.03778492659330368","0.044618017971515656","0.07686752825975418","0.0007221581181511283"
"MP03b-PaiNN-L-333","finished","333","4.5","PaiNN-L","MP03b","2","0.047734104096889496","0.05330832302570343","0.07591579854488373","0.0012977502774447205"
"MP03b-PaiNN-L-100","finished","100","4.5","PaiNN-L","MP03b","2","0.07115489989519119","0.07520703971385956","0.12202569842338562","0.004466560669243336"
"MP03b-TensorNet-3333","crashed","3333","4.5","TensorNet","MP03b","3","","","",""
"MP03b-PaiNN-L-3333","finished","3333","4.5","PaiNN-L","MP03b","1","0.030026836320757862","0.03883866220712662","0.05762198939919472","0.0005721954512409866"
"MP03b-PaiNN-L-1000","finished","1000","4.5","PaiNN-L","MP03b","1","0.04082733020186424","0.04735041409730911","0.07892367988824844","0.0009903233731165528"
"MP03b-PaiNN-3333","finished","3333","4","PaiNN","MP03b","2","0.036558691412210464","0.04360172152519226","0.06573966145515442","0.0007779590669088066"
"MP03b-PaiNN-L-333","finished","333","4.5","PaiNN-L","MP03b","1","0.04620356857776642","0.05176331475377083","0.08243817090988159","0.0011510736076161263"
"MP03b-PaiNN-3333","finished","3333","4","PaiNN","MP03b","3","0.036545902490615845","0.04332805052399635","0.06610963493585587","0.0007020046468824148"
"MP03b-PaiNN-3333","finished","3333","4","PaiNN","MP03b","1","0.036959584802389145","0.04387765005230904","0.06532958894968033","0.0008092435891740024"
"MP03b-PaiNN-L-100","finished","100","4.5","PaiNN-L","MP03b","1","0.07129333168268204","0.07503554224967957","0.1287676841020584","0.005985022056847811"
"MP03b-TensorNet-3333","finished","3333","4.5","TensorNet","MP03b","1","0.030554333701729774","0.03820382058620453","0.05986040458083153","0.0006407352047972381"
"MP03b-PaiNN-1000","finished","1000","4","PaiNN","MP03b","3","0.04588538408279419","0.05157627537846565","0.0873151496052742","0.0010168685112148523"
"MP03b-PaiNN-1000","finished","1000","4","PaiNN","MP03b","2","0.04519875720143318","0.05084393173456192","0.08375809341669083","0.000987836392596364"
"MP03b-PaiNN-3333","finished","3333","3","PaiNN","MP03b","2","0.06533458828926086","0.07036439329385757","0.10306797921657562","0.002610662952065468"
"MP03b-PaiNN-1000","finished","1000","4","PaiNN","MP03b","1","0.050256870687007904","0.055623047053813934","0.09037882089614868","0.0011815143516287208"
"MP03b-TensorNet-3333","finished","3333","4.5","TensorNet","MP03b","2","0.030032794922590256","0.0376209020614624","0.05956382304430008","0.000575228244997561"
"MP03b-PaiNN-3333","finished","3333","3","PaiNN","MP03b","3","0.06472678482532501","0.06975913792848587","0.10237060487270357","0.002497780369594693"
"MP03b-PaiNN-333","finished","333","4","PaiNN","MP03b","2","0.05315043404698372","0.05816171690821648","0.08084512501955032","0.0014168259222060442"
"MP03b-PaiNN-333","finished","333","4","PaiNN","MP03b","3","0.05473363399505615","0.05963762104511261","0.08623181283473969","0.0013859145110473037"
"MP03b-TensorNet-1000","finished","1000","4.5","TensorNet","MP03b","3","0.034286979585886","0.04118288680911064","0.07430589944124222","0.000630282040219754"
"MP03b-PaiNN-100","finished","100","4","PaiNN","MP03b","2","0.07850427180528641","0.08223830163478851","0.12590740621089935","0.0038975649513304234"
"MP03b-PaiNN-100","finished","100","4","PaiNN","MP03b","3","0.07400732487440109","0.07791653275489807","0.1210586428642273","0.0022769763600081205"
"MP03b-PaiNN-333","finished","333","4","PaiNN","MP03b","1","0.054370492696762085","0.05934591591358185","0.0911262035369873","0.0015056068077683449"
"MP03b-PaiNN-1000","finished","1000","3","PaiNN","MP03b","2","0.07376395165920258","0.07823684066534042","0.12140317261219025","0.0030797480139881372"
"MP03b-PaiNN-1000","finished","1000","3","PaiNN","MP03b","3","0.07346498966217041","0.0779166892170906","0.12161613255739212","0.003824840998277068"
"MP03b-PaiNN-100","finished","100","4","PaiNN","MP03b","1","0.07924891263246536","0.08261678367853165","0.13621467351913452","0.003892265260219574"
"MP03b-PaiNN-333","finished","333","3","PaiNN","MP03b","2","0.08469090610742569","0.08858486264944077","0.11895306408405304","0.0035996101796627045"
"MP03b-PaiNN-333","finished","333","3","PaiNN","MP03b","3","0.08500920236110687","0.08895175158977509","0.122629314661026","0.0035410013515502214"
"MP03b-PaiNN-100","finished","100","3","PaiNN","MP03b","2","0.10425568372011185","0.10759343951940536","0.15446726977825165","0.005913614295423031"
"MP03b-PaiNN-100","finished","100","3","PaiNN","MP03b","3","0.10212269425392152","0.10569539666175842","0.14956846833229065","0.004406550899147987"
"MP03b-TensorNet-333","finished","333","4.5","TensorNet","MP03b","3","0.03764716535806656","0.044025227427482605","0.06562862545251846","0.0008827692945487797"
"MP03b-PaiNN-3333","finished","3333","3","PaiNN","MP03b","1","0.06483310461044312","0.06989878416061401","0.10209710150957108","0.0024673822335898876"
"MP03b-TensorNet-1000","finished","1000","4.5","TensorNet","MP03b","1","0.03485870733857155","0.04164239764213562","0.07335539907217026","0.0009527368238195776"
"MP03b-TensorNet-1000","finished","1000","4.5","TensorNet","MP03b","2","0.03530855476856232","0.0421149842441082","0.07347395271062851","0.0021106810308992863"
"MP03b-PaiNN-1000","finished","1000","3","PaiNN","MP03b","1","0.08368241786956787","0.0874495729804039","0.13179083168506622","0.0034103391226381063"
"MP03b-PaiNN-333","finished","333","3","PaiNN","MP03b","1","0.08598605543375015","0.08985400199890137","0.12752756476402283","0.004113301169127226"
"MP03b-PaiNN-100","finished","100","3","PaiNN","MP03b","1","0.1005883887410164","0.10361456125974657","0.1595340520143509","0.007273625582456589"
"MP03b-TensorNet-100","finished","100","4.5","TensorNet","MP03b","3","0.04635513573884964","0.05191989988088608","0.08441396802663803","0.0014517244417220354"
"MP03b-TensorNet-333","finished","333","4.5","TensorNet","MP03b","1","0.03978598490357399","0.0460108183324337","0.07284992188215256","0.0007342755561694503"
"MP03b-TensorNet-333","finished","333","4.5","TensorNet","MP03b","2","0.039703719317913055","0.04582011327147484","0.06603062152862549","0.0007572250324301422"
"MP03b-TensorNet-100","finished","100","4.5","TensorNet","MP03b","2","0.049516260623931885","0.05460190400481224","0.09178666025400162","0.0018671060679480431"
"MP03b-TensorNet-100","finished","100","4.5","TensorNet","MP03b","1","0.04636985063552856","0.05146932974457741","0.09269658476114272","0.001168931950815022"
"MP03b-PaiNN-10000","finished","10000","2.5","PaiNN","MP03b","3","0.098648302257061","0.10261643677949904","0.15694279968738556","0.0045635816641151905"
"MP03b-PaiNN-10000","finished","10000","2.5","PaiNN","MP03b","2","0.09976288676261902","0.10368653386831284","0.15683239698410034","0.005286167375743389"
"MP03b-PaiNN-10000","finished","10000","2.5","PaiNN","MP03b","1","0.09864841401576996","0.10263430327177048","0.16003409028053284","0.0049987537786364555"
"MP03b-TensorNet-10000","crashed","10000","4.5","TensorNet","MP03b","3","","","",""
"MP03b-PaiNN-33330","finished","33330","4.5","PaiNN","MP03b","1","0.03210953250527382","0.039918553084135056","0.06292624026536942","0.0005779522471129894"
"MP03b-TensorNet-10000","finished","10000","4.5","TensorNet","MP03b","3","","","",""
"MP03b-TensorNet-10000","finished","10000","4.5","TensorNet","MP03b","2","","","",""
"MP03b-PaiNN-XL-3333","finished","3333","4.5","PaiNN-XL","MP03b","3","0.13576947152614594","0.13842596113681793","0.18463937938213348","0.033720292150974274"
"MP03b-TensorNet-10000","finished","10000","4.5","TensorNet","MP03b","1","0.03239934518933296","0.039458662271499634","0.06684482097625732","0.0006799343973398209"
"MP03b-TensorNet-10000","crashed","10000","4.5","TensorNet","MP03b","2","","","",""
"MP03b-PaiNN-XL-3333","finished","3333","4.5","PaiNN-XL","MP03b","2","0.03088445216417313","0.039743572473526","0.059235092252492905","0.0005377191700972617"
"MP03b-PaiNN-XL-1000","finished","1000","4.5","PaiNN-XL","MP03b","3","0.04005242884159088","0.04653497785329819","0.08120027184486389","0.0010125404223799706"
"MP03b-PaiNN-XL-3333","finished","3333","4.5","PaiNN-XL","MP03b","1","0.02997761219739914","0.03913816809654236","0.05785335600376129","0.0011770696146413684"
"MP03b-PaiNN-S-3333","finished","3333","4.5","PaiNN-S","MP03b","2","0.0404265969991684","0.04629027098417282","0.07210864126682281","0.0007496224716305733"
"MP03b-TensorNet-10000","crashed","10000","4.5","TensorNet","MP03b","1","","","",""
"MP03b-PaiNN-S-3333","finished","3333","4.5","PaiNN-S","MP03b","3","0.041106246411800385","0.046854034066200256","0.0738082081079483","0.0007615562062710524"
"MP03b-PaiNN-S-3333","finished","3333","4.5","PaiNN-S","MP03b","1","0.04107788950204849","0.04701800271868706","0.0722806304693222","0.0007630166364833713"
"MP03b-PaiNN-L-3333","finished","3333","4.5","PaiNN-L","MP03b","3","0.029655514284968376","0.038754455745220184","0.05821821466088295","0.0005279661272652447"
"MP03b-PaiNN-XL-1000","finished","1000","4.5","PaiNN-XL","MP03b","2","0.03816301375627518","0.04506203904747963","0.07810402661561966","0.0018869724590331316"
"MP03b-PaiNN-L-3333","finished","3333","4.5","PaiNN-L","MP03b","2","0.03046314977109432","0.03908786177635193","0.05852825939655304","0.0005058086244389415"
"MP03b-PaiNN-XL-1000","finished","1000","4.5","PaiNN-XL","MP03b","1","0.03991514816880226","0.04658998548984528","0.08005368709564209","0.004369438160210848"
"MP03b-PaiNN-L-3333","finished","3333","4.5","PaiNN-L","MP03b","1","0.02995702065527439","0.03884781152009964","0.05741653591394424","0.0005397534114308655"
"MP03b-PaiNN-S-1000","finished","1000","4.5","PaiNN-S","MP03b","3","0.0480891615152359","0.0532691515982151","0.09140262007713318","0.0008984307642094791"
"MP03b-PaiNN-S-1000","finished","1000","4.5","PaiNN-S","MP03b","2","0.04614511504769325","0.051157958805561066","0.08690304309129715","0.000878000573720783"
"MP03b-PaiNN-L-1000","finished","1000","4.5","PaiNN-L","MP03b","3","0.039901815354824066","0.0464562214910984","0.0809132531285286","0.0011446428252384069"
"MP03b-PaiNN-XL-333","finished","333","4.5","PaiNN-XL","MP03b","3","0.04790569469332695","0.053372934460639954","0.08199364691972733","0.0010904588270932436"
"MP03b-PaiNN-S-1000","finished","1000","4.5","PaiNN-S","MP03b","1","0.047054026275873184","0.05213453248143196","0.08742326498031616","0.000953668204601854"
"MP03b-PaiNN-L-1000","finished","1000","4.5","PaiNN-L","MP03b","2","0.03929230198264122","0.045736320316791534","0.07720940560102463","0.0012778507079929111"
