       3       5
       4      66
       5     221
       6     274
       7     233
       8     186
       9     153
      10     133
      11      78
      12      77
       3       5
       4      75
       5     252
       6     289
       7     285
       8     186
       9     127
      10      81
      11      99
      12      46
       3       9
       4      71
       5     237
       6     304
       7     292
       8     199
       9     165
      10     153
      11      98
      12      49
       3       3
       4      72
       5     229
       6     276
       7     313
       8     171
       9     185
      10      92
      11      76
      12      33
       3       3
       4      75
       5     245
       6     297
       7     264
       8     174
       9     167
      10     125
      11     111
      12      42
       3       1
       4      75
       5     221
       6     260
       7     242
       8     152
       9     159
      10     113
      11      89
      12      41
       3       6
       4      84
       5     226
       6     303
       7     234
       8     200
       9     164
      10     117
      11     111
      12      68
       3       5
       4      86
       5     257
       6     308
       7     307
       8     154
       9     149
      10     108
      11      74
      12      39
       3       4
       4      78
       5     274
       6     311
       7     239
       8     192
       9     137
      10     106
      11      63
      12      67
       3       6
       4      77
       5     274
       6     307
       7     259
       8     222
       9     148
      10     127
      11      71
      12      49
       3      12
       4      67
       5     258
       6     280
       7     261
       8     237
       9     153
      10     110
      11      69
      12      43
       3       2
       4      73
       5     258
       6     260
       7     265
       8     174
       9     184
      10     107
      11      77
      12      48
       3       2
       4      60
       5     235
       6     287
       7     243
       8     168
       9     167
      10      93
      11      69
      12      52
       3      10
       4      73
       5     212
       6     320
       7     290
       8     179
       9     133
      10      95
      11     107
      12      67
       3       5
       4      77
       5     226
       6     287
       7     258
       8     176
       9     148
      10     125
      11      66
      12      46
       3       5
       4      60
       5     231
       6     327
       7     263
       8     197
       9     155
      10     114
      11      75
      12      36
       3       3
       4      77
       5     239
       6     303
       7     242
       8     207
       9     177
      10     111
      11      79
      12      43
       3       4
       4      71
       5     233
       6     297
       7     260
       8     183
       9     148
      10     107
      11      73
      12      35
       3       5
       4      69
       5     215
       6     313
       7     265
       8     164
       9     165
      10     122
      11      87
      12      65
       3       5
       4      88
       5     220
       6     284
       7     275
       8     205
       9     198
      10     154
      11      93
      12      38
       3       5
       4      68
       5     235
       6     283
       7     235
       8     170
       9     180
      10     131
      11      73
      12      28
       3       2
       4      72
       5     219
       6     246
       7     255
       8     190
       9     148
      10      96
      11      87
      12      64
       3       6
       4      56
       5     237
       6     311
       7     252
       8     179
       9     158
      10     124
      11      63
      12      41
       3       4
       4      78
       5     218
       6     287
       7     276
       8     205
       9     208
      10     121
      11      86
      12      54
       3       4
       4      73
       5     216
       6     300
       7     264
       8     181
       9     176
      10     109
      11     100
      12      65
       3       7
       4      74
       5     215
       6     300
       7     269
       8     194
       9     157
      10     104
      11      84
      12      46
       3       2
       4      69
       5     227
       6     285
       7     254
       8     186
       9     144
      10     147
      11      68
      12      44
       3       3
       4      72
       5     224
       6     274
       7     304
       8     202
       9     147
      10     106
      11      72
      12      36
       3       7
       4      73
       5     247
       6     300
       7     256
       8     169
       9     164
      10     111
      11     102
      12      40
       3       4
       4      73
       5     222
       6     258
       7     247
       8     197
       9     175
      10     106
      11      93
      12      60
       3       5
       4      69
       5     257
       6     265
       7     270
       8     186
       9     155
      10     115
      11      83
      12      51
       3       6
       4      71
       5     227
       6     283
       7     261
       8     186
       9     141
      10     103
      11      89
      12      48
       3       3
       4      81
       5     210
       6     232
       7     247
       8     199
       9     137
      10     141
      11      78
      12      69
       3       9
       4      76
       5     204
       6     262
       7     272
       8     173
       9     143
      10     112
      11      89
      12      53
       3       6
       4      73
       5     206
       6     268
       7     257
       8     192
       9     158
      10     130
      11      92
      12      46
       3       3
       4      91
       5     226
       6     282
       7     268
       8     167
       9     162
      10     113
      11      91
      12      66
       3       9
       4      70
       5     216
       6     269
       7     255
       8     184
       9     152
      10      99
      11      86
      12      66
       3       4
       4      51
       5     236
       6     280
       7     219
       8     206
       9     159
      10     114
      11      73
      12      76
       3       3
       4      65
       5     242
       6     274
       7     260
       8     176
       9     138
      10     114
      11      81
      12      37
       3       4
       4      71
       5     232
       6     264
       7     248
       8     203
       9     141
      10     113
      11     100
      12      49
       3       3
       4      76
       5     192
       6     293
       7     279
       8     191
       9     144
      10     156
      11      76
      12      47
       3       3
       4      71
       5     234
       6     274
       7     254
       8     165
       9     159
      10     103
      11      89
      12      25
       3       3
       4      67
       5     228
       6     290
       7     219
       8     210
       9     171
      10     123
      11      88
      12      49
       3       8
       4      69
       5     225
       6     298
       7     224
       8     170
       9     148
      10     120
      11     107
      12      38
